시도,시군구,총계-개소수(개소),총계-이용량(톤),국가공단-개소수(개소),국가공단-이용량(톤),지방공단-개소수(개소),지방공단-이용량(톤),농공단지-개소수(개소),농공단지-이용량(톤),자유입지업체-개소수(개소),자유입지업체-이용량(톤),기타-개소수(개소),기타-이용량(톤)
충청남도,계룡시,9,113906,0,0,3,21010,0,0,2,15600,4,77296
충청남도,공주시,151,1079357,0,0,3,65308,11,120080,50,445060,87,448909
충청남도,금산군,119,1840262,0,0,2,60500,10,480085,92,965076,15,334601
충청남도,논산시,165,671370,0,0,3,4791,15,111962,126,484678,21,69939
충청남도,당진시,80,2316101,3,142350,7,135050,10,237250,38,1333069,22,468382
충청남도,보령시,66,632050,5,182500,7,77123,1,1737,29,284887,24,85803
충청남도,부여군,81,300362,0,0,0,0,8,131396,63,106044,10,62922
충청남도,서산시,55,1151220,0,0,5,60654,7,185547,13,372359,30,532660
충청남도,서천군,91,897436,1,0,0,0,14,219037,52,449618,24,228781
충청남도,아산시,201,2910592,0,0,5,54454,3,90300,170,2670197,23,95641
충청남도,예산군,60,744943,0,0,2,0,16,385461,16,175810,26,183672
충청남도,천안시,288,3903320,0,0,29,691169,11,307987,209,2547526,39,356638
충청남도,청양군,31,507681,0,0,3,25950,17,310519,5,43800,6,127412
충청남도,태안군,13,47088,1,2500,0,0,0,0,1,4000,11,40588
충청남도,홍성군,60,640895,0,0,2,50600,19,241780,23,238010,16,110505
충청북도,괴산군,32,170400,1,1800,2,4745,4,44100,11,52450,14,67305
충청북도,단양군,41,1396963,0,0,2,14600,4,74825,22,897858,13,409680
충청북도,보은군,62,219537,6,87600,0,0,11,24471,23,47351,22,60115
충청북도,영동군,98,1312857,0,0,4,89425,4,103200,7,39018,83,1081214
충청북도,옥천군,97,1276377,0,0,0,0,15,472425,44,529703,38,274249
충청북도,음성군,677,7294356,0,0,34,903540,9,239930,555,5299442,79,851444
충청북도,제천시,94,850249,0,0,6,175500,14,130443,55,382524,19,161782
충청북도,증평군,54,470546,0,0,1,4663,11,48898,22,327566,20,89419
충청북도,진천군,207,2699564,0,0,2,3033,5,215740,182,2298036,18,182755
충청북도,청주시,256,2422862,0,0,31,606330,0,0,152,1340212,73,476320
충청북도,충주시,176,2264671,0,0,11,349525,15,170821,73,829822,77,914503
